interaction_id,client_id,advisor_id,date,type,initiated_by,duration_minutes,outcome,sentiment,topics_discussed,commitment_made,commitment_fulfilled,follow_up_created,follow_up_due_date
I0046,C0004,ADV001,2025-11-21,Video call,client,57,positive — action taken,positive,goal progress|estate planning|new investment opportunity,False,,False,
I0047,C0004,ADV001,2025-12-27,Phone call,advisor,18,neutral — information provided,positive,goal progress,False,,False,
I0048,C0004,ADV001,2026-01-31,Email,client,0,positive — action taken,positive,risk tolerance review|philanthropic planning|insurance review,False,,False,
I0049,C0004,ADV001,2026-02-10,Phone call,advisor,21,neutral — information provided,positive,property discussion,True,True,True,2026-03-09
I0050,C0004,ADV001,2026-03-08,Phone call,client,13,positive — follow up scheduled,positive,philanthropic planning|cash flow review,True,True,True,2026-03-24
I0051,C0004,ADV001,2026-03-09,Email,advisor,0,positive — action taken,positive,market update|property discussion|rebalancing,False,,False,
I0052,C0004,ADV001,2026-04-11,Phone call,client,22,negative — client concerned,negative,new investment opportunity,False,,False,
I0053,C0004,ADV001,2026-04-28,Phone call,client,15,positive — follow up scheduled,neutral,business exit planning,False,,False,
I0054,C0005,ADV001,2024-12-13,Email,advisor,0,neutral — information provided,neutral,portfolio review,False,,False,
I0055,C0005,ADV001,2024-12-20,Phone call,advisor,29,positive — action taken,positive,estate planning|business exit planning,True,True,True,2025-01-10
I0056,C0005,ADV001,2024-12-24,Phone call,client,30,neutral — information provided,neutral,tax planning,False,,False,
I0057,C0005,ADV001,2024-12-31,Phone call,client,23,neutral — information provided,positive,next gen engagement|rebalancing|estate planning,False,,False,
I0058,C0005,ADV001,2025-01-20,Phone call,advisor,14,neutral — client to consider,neutral,next gen engagement|tax planning,False,,False,
I0059,C0005,ADV001,2025-01-20,Phone call,client,26,neutral — information provided,positive,new investment opportunity|property discussion|family financial planning,False,,False,
I0060,C0005,ADV001,2025-01-29,Email,advisor,0,neutral — information provided,neutral,business exit planning|inheritance planning,False,,False,
I0061,C0005,ADV001,2025-01-29,Email,client,0,positive — action taken,positive,goal progress|next gen engagement|risk tolerance review,False,,False,
I0062,C0005,ADV001,2025-01-29,Phone call,advisor,18,positive — follow up scheduled,positive,philanthropic planning,False,,False,
I0063,C0005,ADV001,2025-01-31,Phone call,client,24,positive — action taken,positive,rebalancing|estate planning|risk tolerance review,False,,False,
I0064,C0005,ADV001,2025-02-25,Phone call,advisor,13,positive — follow up scheduled,neutral,risk tolerance review|retirement planning,False,,False,
I0065,C0005,ADV001,2025-03-12,In-person meeting,client,85,neutral — client to consider,negative,philanthropic planning|insurance review,False,,False,
I0066,C0005,ADV001,2025-03-13,Review meeting,advisor,74,neutral — information provided,positive,property discussion|next gen engagement,False,,False,
I0067,C0005,ADV001,2025-03-23,In-person meeting,advisor,59,neutral — client to consider,neutral,property discussion,False,,False,
I0068,C0005,ADV001,2025-03-24,Review meeting,advisor,104,positive — follow up scheduled,positive,retirement planning,False,,False,
I0069,C0005,ADV001,2025-03-24,In-person meeting,client,61,positive — action taken,positive,insurance review|philanthropic planning|retirement planning,True,False,True,2025-04-06
I0070,C0005,ADV001,2025-03-28,Phone call,advisor,28,negative — complaint raised,negative,rebalancing,False,,False,
I0071,C0005,ADV001,2025-03-29,Review meeting,advisor,93,neutral — information provided,positive,retirement planning|risk tolerance review|next gen engagement,False,,False,
I0072,C0005,ADV001,2025-03-31,Email,client,0,positive — action taken,positive,goal progress|market update|retirement planning,False,,False,
I0073,C0005,ADV001,2025-04-03,Email,advisor,0,neutral — client to consider,neutral,new investment opportunity|family financial planning,False,,False,
I0074,C0005,ADV001,2025-04-06,Review meeting,advisor,86,neutral — information provided,positive,philanthropic planning|cash flow review|risk tolerance review,False,,False,
I0075,C0005,ADV001,2025-04-08,Phone call,client,16,positive — follow up scheduled,neutral,insurance review,False,,False,
I0076,C0005,ADV001,2025-04-10,Email,client,0,positive — follow up scheduled,positive,goal progress|property discussion|business exit planning,False,,False,
I0077,C0005,ADV001,2025-04-16,Email,advisor,0,negative — complaint raised,negative,risk tolerance review|cash flow review|rebalancing,False,,False,
I0078,C0005,ADV001,2025-04-30,Email,advisor,0,positive — follow up scheduled,positive,retirement planning|insurance review|market update,False,,False,
I0079,C0005,ADV001,2025-05-12,Email,advisor,0,positive — action taken,positive,insurance review|retirement planning,False,,False,
I0080,C0005,ADV001,2025-05-16,Phone call,client,17,positive — follow up scheduled,neutral,inheritance planning|new investment opportunity|family financial planning,True,True,True,2025-06-04
I0081,C0005,ADV001,2025-05-24,Review meeting,client,95,neutral — information provided,positive,portfolio review,True,True,True,2025-06-14
I0082,C0005,ADV001,2025-06-07,Video call,client,54,neutral — client to consider,neutral,insurance review|philanthropic planning|market update,True,True,False,2025-06-19
I0083,C0005,ADV001,2025-07-02,In-person meeting,advisor,62,neutral — information provided,positive,family financial planning|market update|estate planning,False,,False,
I0084,C0005,ADV001,2025-07-03,Phone call,advisor,11,neutral — client to consider,negative,property discussion,True,False,True,2025-07-29
I0085,C0005,ADV001,2025-07-05,Phone call,client,12,positive — follow up scheduled,neutral,property discussion|new investment opportunity|estate planning,True,True,True,2025-07-25
I0086,C0005,ADV001,2025-07-09,Email,advisor,0,neutral — client to consider,neutral,property discussion|philanthropic planning|goal progress,True,False,True,2025-08-01
I0087,C0005,ADV001,2025-07-11,Email,client,0,neutral — client to consider,neutral,business exit planning,True,True,True,2025-08-06
I0088,C0005,ADV001,2025-08-04,Phone call,client,13,positive — follow up scheduled,positive,family financial planning|cash flow review,False,,False,
I0089,C0005,ADV001,2025-08-08,In-person meeting,advisor,73,positive — follow up scheduled,neutral,retirement planning|cash flow review,True,True,True,2025-08-18
I0090,C0005,ADV001,2025-08-26,Review meeting,advisor,64,neutral — information provided,positive,insurance review,False,,False,
I0091,C0005,ADV001,2025-08-29,Phone call,advisor,23,neutral — client to consider,neutral,estate planning|market update|portfolio review,False,,False,
I0092,C0005,ADV001,2025-08-30,Phone call,advisor,18,positive — action taken,positive,estate planning|new investment opportunity|rebalancing,False,,False,
I0093,C0005,ADV001,2025-09-06,Email,advisor,0,neutral — information provided,positive,tax planning|portfolio review,False,,False,
I0094,C0005,ADV001,2025-09-07,Phone call,client,12,positive — action taken,positive,philanthropic planning|tax planning,False,,False,
I0095,C0005,ADV001,2025-09-13,Phone call,advisor,24,neutral — client to consider,neutral,inheritance planning|portfolio review,True,True,True,2025-10-13
I0096,C0005,ADV001,2025-09-26,In-person meeting,advisor,54,neutral — client to consider,negative,business exit planning|portfolio review,False,,False,
I0097,C0005,ADV001,2025-10-04,Phone call,advisor,22,positive — follow up scheduled,neutral,estate planning|cash flow review|tax planning,False,,False,
I0098,C0005,ADV001,2025-10-09,In-person meeting,advisor,77,negative — client concerned,negative,goal progress,True,False,True,2025-10-22
I0099,C0005,ADV001,2025-10-10,Email,advisor,0,neutral — information provided,positive,rebalancing|estate planning|market update,True,True,True,2025-11-09
I0100,C0005,ADV001,2025-10-15,Review meeting,advisor,75,positive — follow up scheduled,neutral,cash flow review,True,True,True,2025-11-06
I0101,C0005,ADV001,2025-10-27,Email,advisor,0,neutral — information provided,neutral,business exit planning|property discussion|insurance review,True,True,True,2025-11-10
I0102,C0005,ADV001,2025-11-14,Email,advisor,0,positive — action taken,positive,property discussion|next gen engagement|new investment opportunity,False,,False,
I0103,C0005,ADV001,2025-12-12,Phone call,advisor,29,positive — follow up scheduled,positive,family financial planning,False,,False,
I0104,C0005,ADV001,2025-12-14,Phone call,client,12,positive — follow up scheduled,neutral,philanthropic planning,True,True,True,2026-01-02
I0105,C0005,ADV001,2026-01-04,Phone call,advisor,27,positive — action taken,positive,market update|business exit planning,True,False,False,2026-02-03
I0106,C0005,ADV001,2026-02-03,Phone call,advisor,21,neutral — information provided,positive,portfolio review|new investment opportunity|risk tolerance review,False,,False,
I0107,C0005,ADV001,2026-02-10,In-person meeting,advisor,81,positive — follow up scheduled,positive,market update|next gen engagement|goal progress,True,True,True,2026-02-19
I0108,C0005,ADV001,2026-02-12,Phone call,client,21,positive — follow up scheduled,positive,next gen engagement|rebalancing,True,True,True,2026-02-22
I0109,C0005,ADV001,2026-02-14,Email,client,0,positive — follow up scheduled,neutral,goal progress|inheritance planning,False,,False,
I0110,C0005,ADV001,2026-03-10,Email,client,0,neutral — information provided,positive,inheritance planning|new investment opportunity,False,,False,
I0111,C0005,ADV001,2026-03-23,In-person meeting,advisor,83,neutral — information provided,neutral,philanthropic planning,False,,False,
I0112,C0005,ADV001,2026-03-31,Phone call,advisor,14,positive — action taken,positive,goal progress,False,,False,
I0113,C0005,ADV001,2026-04-10,In-person meeting,client,66,positive — action taken,positive,tax planning|next gen engagement|property discussion,False,,False,
I0114,C0005,ADV001,2026-04-17,Email,advisor,0,positive — follow up scheduled,positive,retirement planning,False,,False,
I0115,C0005,ADV001,2026-04-30,Phone call,advisor,28,positive — follow up scheduled,positive,retirement planning,True,True,True,2026-05-19
I0116,C0005,ADV001,2026-05-03,Email,advisor,0,neutral — client to consider,neutral,cash flow review|estate planning|tax planning,False,,False,
I0117,C0005,ADV001,2026-05-04,Email,advisor,0,neutral — information provided,positive,market update|goal progress,False,,False,
I0118,C0005,ADV001,2026-05-18,Phone call,client,24,positive — action taken,positive,estate planning|new investment opportunity|insurance review,True,True,False,2026-06-10
I0119,C0005,ADV001,2026-05-18,Email,advisor,0,positive — action taken,positive,goal progress,False,,False,
I0120,C0005,ADV001,2026-05-27,Email,client,0,positive — action taken,positive,estate planning,False,,False,
I0121,C0005,ADV001,2026-05-30,Video call,advisor,60,positive — follow up scheduled,positive,risk tolerance review|philanthropic planning|goal progress,False,,False,
I0122,C0006,ADV001,2025-03-06,Phone call,advisor,10,neutral — information provided,neutral,philanthropic planning|tax planning|family financial planning,False,,False,
I0123,C0006,ADV001,2025-03-21,Phone call,client,13,neutral — information provided,positive,risk tolerance review,False,,False,
I0124,C0006,ADV001,2025-04-27,Phone call,advisor,29,neutral — client to consider,neutral,inheritance planning|insurance review,False,,False,
I0125,C0006,ADV001,2025-08-02,Email,advisor,0,positive — follow up scheduled,neutral,family financial planning|cash flow review,True,True,True,2025-09-01
I0126,C0006,ADV001,2025-08-06,Video call,advisor,55,neutral — information provided,positive,goal progress|tax planning|next gen engagement,False,,False,
I0127,C0006,ADV001,2025-08-28,Phone call,advisor,11,positive — follow up scheduled,neutral,inheritance planning,True,True,True,2025-09-08
I0128,C0006,ADV001,2025-09-27,Email,advisor,0,neutral — information provided,positive,estate planning|retirement planning,False,,False,
I0129,C0006,ADV001,2025-12-04,Review meeting,advisor,105,positive — action taken,positive,retirement planning|goal progress|property discussion,False,,False,
I0130,C0006,ADV001,2026-01-05,Phone call,client,19,positive — follow up scheduled,neutral,retirement planning,False,,False,
I0131,C0006,ADV001,2026-02-02,Email,advisor,0,neutral — information provided,neutral,new investment opportunity|portfolio review,True,True,True,2026-02-21
I0132,C0006,ADV001,2026-02-19,Phone call,advisor,12,neutral — information provided,positive,cash flow review,False,,False,
I0133,C0006,ADV001,2026-02-23,Video call,advisor,38,negative — complaint raised,negative,insurance review,False,,False,
I0134,C0006,ADV001,2026-04-13,Email,advisor,0,neutral — information provided,positive,estate planning,True,False,False,2026-05-06
I0135,C0006,ADV001,2026-04-18,Video call,client,52,neutral — information provided,neutral,inheritance planning|next gen engagement,False,,False,
I0136,C0007,ADV001,2024-12-20,Phone call,client,27,positive — action taken,positive,next gen engagement,False,,False,
I0137,C0007,ADV001,2025-01-08,Video call,advisor,51,neutral — client to consider,negative,next gen engagement,True,False,True,2025-01-23
I0138,C0007,ADV001,2025-02-18,Phone call,advisor,14,neutral — information provided,neutral,tax planning,False,,False,
I0139,C0007,ADV001,2025-03-16,Email,advisor,0,positive — follow up scheduled,neutral,retirement planning|next gen engagement|goal progress,True,False,False,2025-04-10
I0140,C0007,ADV001,2025-04-09,Email,client,0,neutral — client to consider,negative,inheritance planning|new investment opportunity,True,True,True,2025-04-29
I0141,C0007,ADV001,2025-07-24,Email,advisor,0,neutral — information provided,positive,goal progress|rebalancing|retirement planning,False,,False,
I0142,C0007,ADV001,2025-08-03,Phone call,advisor,22,positive — follow up scheduled,neutral,tax planning|property discussion|goal progress,False,,False,
I0143,C0007,ADV001,2025-08-22,Phone call,advisor,29,positive — action taken,positive,business exit planning|goal progress,False,,False,
I0144,C0007,ADV001,2025-09-01,Email,client,0,positive — follow up scheduled,positive,family financial planning|rebalancing,False,,False,
I0145,C0007,ADV001,2025-09-06,Review meeting,client,106,neutral — client to consider,neutral,new investment opportunity|risk tolerance review,True,False,True,2025-10-06
I0146,C0007,ADV001,2025-10-01,In-person meeting,advisor,85,positive — action taken,positive,property discussion|next gen engagement|market update,False,,False,
I0147,C0007,ADV001,2025-10-30,Email,advisor,0,neutral — client to consider,neutral,insurance review,False,,False,
I0148,C0007,ADV001,2025-12-07,Email,advisor,0,positive — action taken,positive,business exit planning|family financial planning,True,True,False,2026-01-04
I0149,C0007,ADV001,2026-01-06,Phone call,advisor,15,positive — follow up scheduled,neutral,business exit planning|property discussion,False,,False,
I0150,C0007,ADV001,2026-02-06,In-person meeting,advisor,84,positive — follow up scheduled,positive,rebalancing|market update,False,,False,
I0151,C0007,ADV001,2026-03-27,Video call,advisor,42,neutral — information provided,neutral,estate planning,True,True,True,2026-04-23
I0152,C0007,ADV001,2026-04-18,Phone call,advisor,24,positive — action taken,positive,philanthropic planning|rebalancing,True,False,True,2026-04-29
I0153,C0007,ADV001,2026-05-23,Email,client,0,neutral — information provided,neutral,insurance review,False,,False,
I0154,C0008,ADV001,2025-01-06,Email,advisor,0,negative — complaint raised,negative,new investment opportunity|estate planning,True,True,True,2025-01-17
I0155,C0008,ADV001,2025-01-09,Phone call,client,21,positive — follow up scheduled,neutral,next gen engagement|portfolio review,False,,False,
I0156,C0008,ADV001,2025-01-15,Video call,advisor,43,neutral — information provided,positive,new investment opportunity|portfolio review,False,,False,
I0157,C0008,ADV001,2025-02-04,Email,advisor,0,positive — action taken,positive,inheritance planning,True,True,True,2025-03-03
I0158,C0008,ADV001,2025-02-14,In-person meeting,client,88,neutral — client to consider,neutral,cash flow review|family financial planning,True,True,True,2025-02-25
I0159,C0008,ADV001,2025-03-06,Email,advisor,0,positive — follow up scheduled,positive,next gen engagement|insurance review|goal progress,True,False,True,2025-03-13
I0160,C0008,ADV001,2025-03-07,Phone call,advisor,10,neutral — information provided,neutral,estate planning,True,True,True,2025-03-27
I0161,C0008,ADV001,2025-03-18,In-person meeting,client,47,positive — follow up scheduled,positive,estate planning|market update,True,True,True,2025-04-11
I0162,C0008,ADV001,2025-03-27,Phone call,client,10,neutral — client to consider,neutral,new investment opportunity,False,,False,
I0163,C0008,ADV001,2025-04-19,Email,client,0,positive — action taken,positive,tax planning|insurance review,False,,False,
I0164,C0008,ADV001,2025-04-24,Review meeting,client,106,positive — follow up scheduled,positive,philanthropic planning,True,True,True,2025-05-07
I0165,C0008,ADV001,2025-04-28,Phone call,client,17,negative — client concerned,negative,risk tolerance review|property discussion|portfolio review,False,,False,
I0166,C0008,ADV001,2025-05-19,Email,advisor,0,neutral — information provided,positive,next gen engagement,False,,False,
I0167,C0008,ADV001,2025-06-03,Phone call,advisor,12,positive — action taken,positive,property discussion|retirement planning|portfolio review,False,,False,
I0168,C0008,ADV001,2025-06-10,In-person meeting,client,59,neutral — information provided,positive,business exit planning|rebalancing,True,True,True,2025-06-28
I0169,C0008,ADV001,2025-08-02,Phone call,advisor,27,positive — follow up scheduled,neutral,next gen engagement|insurance review,True,True,True,2025-09-01
I0170,C0008,ADV001,2025-08-21,Video call,advisor,35,neutral — information provided,neutral,philanthropic planning,False,,False,
I0171,C0008,ADV001,2025-09-05,In-person meeting,advisor,85,positive — follow up scheduled,positive,inheritance planning|goal progress|rebalancing,False,,False,
I0172,C0008,ADV001,2025-09-15,Phone call,advisor,12,neutral — information provided,positive,inheritance planning|insurance review|family financial planning,False,,False,
I0173,C0008,ADV001,2025-09-27,Email,advisor,0,neutral — information provided,positive,property discussion|tax planning|retirement planning,False,,False,
I0174,C0008,ADV001,2025-10-23,Phone call,client,11,positive — action taken,positive,tax planning,True,True,True,2025-11-19
I0175,C0008,ADV001,2025-11-09,Email,advisor,0,neutral — information provided,neutral,retirement planning|business exit planning,False,,False,
I0176,C0008,ADV001,2025-12-11,Phone call,client,25,neutral — information provided,positive,rebalancing,True,True,True,2025-12-31
I0177,C0008,ADV001,2026-01-14,In-person meeting,advisor,78,neutral — client to consider,neutral,estate planning,True,True,True,2026-02-06
I0178,C0008,ADV001,2026-01-21,In-person meeting,advisor,78,neutral — information provided,positive,new investment opportunity|goal progress|family financial planning,False,,False,
I0179,C0008,ADV001,2026-03-01,In-person meeting,client,88,neutral — information provided,neutral,risk tolerance review|tax planning,False,,False,
I0180,C0008,ADV001,2026-03-09,Email,advisor,0,neutral — client to consider,neutral,rebalancing|business exit planning|philanthropic planning,False,,False,
I0181,C0008,ADV001,2026-03-11,Review meeting,client,100,neutral — information provided,positive,property discussion|new investment opportunity,False,,False,
I0182,C0008,ADV001,2026-03-23,Phone call,advisor,21,neutral — information provided,neutral,rebalancing|inheritance planning,False,,False,
I0183,C0008,ADV001,2026-04-03,Review meeting,advisor,116,positive — follow up scheduled,positive,portfolio review|cash flow review,True,True,True,2026-05-02
I0184,C0008,ADV001,2026-04-09,Video call,advisor,48,neutral — information provided,neutral,tax planning,False,,False,
I0185,C0008,ADV001,2026-04-12,Phone call,advisor,17,neutral — client to consider,neutral,family financial planning,True,True,True,2026-04-25
I0186,C0008,ADV001,2026-05-31,In-person meeting,client,89,neutral — information provided,positive,tax planning|cash flow review|portfolio review,False,,False,
I0187,C0008,ADV001,2026-05-31,Phone call,client,20,negative — client concerned,negative,risk tolerance review|philanthropic planning,False,,False,
I0188,C0008,ADV001,2026-06-03,Phone call,client,10,positive — follow up scheduled,neutral,inheritance planning|retirement planning|market update,True,True,True,2026-06-14
I0189,C0009,ADV001,2025-01-30,Email,client,0,neutral — client to consider,neutral,insurance review|next gen engagement,False,,False,
I0190,C0009,ADV001,2025-03-05,Phone call,advisor,17,neutral — client to consider,neutral,estate planning,False,,False,
I0191,C0009,ADV001,2025-03-08,Phone call,client,23,positive — follow up scheduled,positive,business exit planning|philanthropic planning,True,True,True,2025-03-15
I0192,C0009,ADV001,2025-03-13,Phone call,advisor,24,neutral — information provided,neutral,market update|rebalancing|portfolio review,True,True,False,2025-04-12
I0193,C0009,ADV001,2025-04-25,Phone call,advisor,14,neutral — client to consider,negative,portfolio review|property discussion,False,,False,
I0194,C0009,ADV001,2025-05-11,Phone call,advisor,27,neutral — information provided,positive,insurance review,False,,False,
I0195,C0009,ADV001,2025-07-26,Phone call,advisor,14,positive — follow up scheduled,neutral,portfolio review|inheritance planning|cash flow review,False,,False,
I0196,C0009,ADV001,2025-09-05,Phone call,advisor,29,neutral — information provided,positive,retirement planning|rebalancing,False,,False,
I0197,C0009,ADV001,2025-10-03,Phone call,client,21,neutral — client to consider,neutral,portfolio review,False,,False,
I0198,C0009,ADV001,2025-11-20,Email,advisor,0,neutral — information provided,positive,tax planning|property discussion|new investment opportunity,False,,False,
I0199,C0009,ADV001,2026-01-17,Phone call,advisor,10,neutral — information provided,positive,new investment opportunity,True,True,True,2026-02-16
I0200,C0009,ADV001,2026-01-18,Phone call,advisor,17,neutral — client to consider,neutral,family financial planning|retirement planning|property discussion,False,,False,
I0201,C0009,ADV001,2026-01-23,Video call,client,47,positive — action taken,positive,new investment opportunity|market update,False,,False,
I0202,C0009,ADV001,2026-01-23,Email,advisor,0,neutral — information provided,positive,new investment opportunity|risk tolerance review|tax planning,True,False,True,2026-02-18
I0203,C0009,ADV001,2026-02-26,Email,advisor,0,neutral — information provided,positive,insurance review|market update|next gen engagement,False,,False,
I0204,C0009,ADV001,2026-03-12,Email,advisor,0,negative — complaint raised,negative,goal progress,True,True,True,2026-04-11
I0205,C0009,ADV001,2026-04-12,Phone call,client,20,neutral — client to consider,neutral,risk tolerance review|cash flow review,False,,False,
I0206,C0009,ADV001,2026-05-08,In-person meeting,advisor,54,neutral — information provided,neutral,tax planning,True,False,True,2026-06-03
I0207,C0009,ADV001,2026-05-11,Email,advisor,0,neutral — client to consider,neutral,portfolio review,True,False,True,2026-05-22
I0208,C0010,ADV001,2024-12-26,Phone call,client,16,positive — action taken,positive,goal progress,False,,False,
I0209,C0010,ADV001,2025-01-13,Email,advisor,0,positive — action taken,positive,risk tolerance review,False,,False,
I0210,C0010,ADV001,2025-04-30,Email,client,0,positive — follow up scheduled,neutral,philanthropic planning|retirement planning,True,True,False,2025-05-08
I0211,C0010,ADV001,2025-05-27,Phone call,advisor,11,negative — complaint raised,negative,inheritance planning|retirement planning|tax planning,False,,False,
I0212,C0010,ADV001,2025-06-17,Video call,client,35,neutral — information provided,positive,cash flow review|retirement planning,False,,False,
I0213,C0010,ADV001,2025-06-26,Phone call,client,26,neutral — information provided,positive,goal progress,False,,False,
I0214,C0010,ADV001,2025-07-30,Email,advisor,0,positive — action taken,positive,portfolio review|goal progress,False,,False,
I0215,C0010,ADV001,2025-09-13,In-person meeting,advisor,61,positive — follow up scheduled,positive,goal progress|tax planning,True,True,True,2025-10-01
I0216,C0010,ADV001,2025-12-28,In-person meeting,client,84,neutral — client to consider,negative,inheritance planning,False,,False,
I0217,C0010,ADV001,2026-01-11,In-person meeting,client,87,neutral — information provided,neutral,goal progress,True,True,True,2026-01-31
I0218,C0010,ADV001,2026-02-02,In-person meeting,client,56,positive — follow up scheduled,positive,market update,True,False,True,2026-02-09
I0219,C0010,ADV001,2026-02-06,Video call,advisor,58,neutral — information provided,positive,new investment opportunity|insurance review,False,,False,
I0220,C0010,ADV001,2026-04-05,Email,advisor,0,positive — follow up scheduled,neutral,new investment opportunity,True,True,True,2026-04-18
